mip19,mip19_cat
same conditions created for everyone,NA
size limit of class,NA
the refugee program,NA
for the senior citizens on fixed income,NA
fishery,NA
regional equality,NA
aboriginal affairs,NA
"clear, honest ruling by those we put into the spots where we need them ie prime minister, minister of finance",NA
"i'd like to see somebody talk about all the money country owes, get rid of the debt, that's my concern",debt_deficit
honesty and transparency,NA
i think right now is the environment,environment
child care income tax medicare,taxes
integrity and honesty,NA
deficit reduction.,debt_deficit
"middle to lower income improvements in cost of living, etc",NA
toss-up between the environment and the economy,environment
elect the right people,NA
education and health care,health care
china,NA
individual rights,NA
way of living and federal pension,NA
honesty by the prime minister,NA
medical profession issue,NA
"education and taking care of the poor, and health care",health care
child care and child benefits.,NA
climate and equality.,environment
i would say health care across canada,health care
child care supplements for daycare,NA
environment and cost of living,environment
senior citizen what they in income,NA
justin trudeau be re-elected,leadership
get out of this deficit we are in.,debt_deficit
if they'd stop changing the powers that be so often maybe they would get something done. they change overnight the minute they get elected,NA
baisse d'impot pour les familles,NA
la santé,health care
les conditions sociales et l'économie,NA
hopitaux,NA
maintien de la paix.,NA
gestion du canada financierement,NA
aucun,NA
les elections proportionnelles,NA
le systeme de sante,NA
"la famille , les cpe",NA
les personnes agées,NA
les promesses quon demande aux gens lors de lelection,NA
changer de gouvernement,NA
la polution,NA
l économie du pays,NA
pipeline,environment
pipe lines,NA
regional divisions,NA
i think the fact of abortion and the way the states has done it i am just not comfortable about that all,NA
personal liberty,NA
change of government,NA
good morality,NA
to get justin trudeau out of office and have him put in jail,leadership
the demise of the economy in alberta,NA
to get rid of the current prime minister.,NA
false promises by parties. where will the money come from?,NA
the climate,environment
getting pipeline built,environment
state of alberta's economy,NA
spending money that we don't have the government,NA
"somebody to get the province going again, the alberta oil patch",NA
"truth out of the leadership, better care for seniors",NA
truthfulness in the way in which politicians conduct themselves,NA
senior's healthcare,health care
to have the conservatives not win unless its a minority,NA
i guess candidate ethics and leadership,ethics
intergreity and truth from representatives,NA
immigration/foreign workers program,immigration
honesty. the thing that bothers me the most is the nay-saying and the negativity and the things that their saying are they factual and with the promises that people make are they being truthful that those are the promises they intend to keep?,NA
overall ethics,ethics
freedom of speech,NA
truth and honesty,NA
children and people,NA
"i would like to keep our life style for most people anyways the way it is.i mean the majority pf people to my understanding have a good lifestyle and i understand there are some who would need it to improve. i do not want to see it more politicized or americainized , democracy used as a tool by certain people.",NA
i am hoping a government gets into play to receive the interest of canada.,NA
getting good prime minister,NA
the environment.,environment
foreign relations,NA
a balanced approach,NA
the economics,NA
economy.,NA
reducing the debt,debt_deficit
government spending.,NA
an end to the current party,NA
"the current liberal stance on gun control. i don't agree with more government running our lives, i think it should be less.",NA
accountability. the gov should do what is best for the country as a whole.,NA
wood sector industry,NA
attention to climate change,environment
the environment and the climate crisis.,environment
"natural gas, the environment",environment
"environment, green economy, federal sponsored child care system",environment
envrironment,NA
strategic voting,NA
more government support for disadvantaged canadians,NA
water contamination on reserves,NA
reducing the deficit,debt_deficit
ressource sector of the economy,NA
the competency of politicians and everyone in government,NA
student loans,NA
fiscal responsability,NA
"an understanding of the whole country and its needs, not just one part of it.",NA
immigration.,immigration
nationalism,NA
the accountability of the liberal government and there spending. they are not accounting to people where money is going,NA
to bring more responsible government that is held accountable for the decisions that they mkake,NA
someone who fights for canadians,NA
having more money in pocket,NA
honestly coupled with personal integrity,NA
affordability for middle class,NA
continuing support for indigenous communities and social issues,NA
law and order,NA
old age--seniors treated less fairly than new immigrants,immigration
indigenous relations,NA
discrimination by left-wing groups,crime
leader with some brains,NA
not raising my taxes,taxes
the environment and what it is going to cost us to protect the environment.,environment
right to life,NA
penioners,NA
senior healthcare,health care
where is all the money coming from that we keep giving to the immigrants and to others. it's coming out of my pockets,immigration
the middle class need more help,NA
democracy,NA
the choice of leadership candidate.,NA
santé et l'environnement,environment
le manque d'emploi,NA
for pipelines,environment
health issues,health care
gun control.,NA
my own pocket,NA
native rights,NA
child care.,NA
deficiet,NA
"taxes, the way our money is spent",taxes
immigrants and immigration,immigration
le climat,NA
senior citizens and their healthcare,health care
"i'm very dissatisfied with the leader we have, and i'm afraid he's going to be near the top again, and i would find that very discouraging.",NA
"to have canada run well, to help the second class people not the first.",NA
the benifits for elderly,NA
looking after canadian,NA
right now i see too much money going out the door and we can just not afford that.,NA
senior care,NA
human rights for immigrants,immigration
i want there to me more important topics and how we are going to give our young canadians a successful career life.,NA
canadians are living below poverty line.,NA
the power bill.,NA
climate and budget deficit,environment
moral character,NA
the leaders all grow up. taxes.,taxes
seniors and retirement.,NA
individual creditably,NA
raise for seniors,NA
the muskrat falls problem for newfoundland,NA
retirement plans and benefits,NA
my money (taxes),taxes
more money for the seniors,NA
security of our country,NA
"climate change, what the government is going to do about it",environment
welfare of the children: education and environment,environment
fairness and discrimination,crime
"environment - garbage and plastic, also in ocean",environment
parties being forthright and listening to canadians,NA
illegal immigrants,immigration
'getting that traitor trudeau out of office.',leadership
leader in the country that cares about the people,NA
federal spending,NA
the environmental issues,environment
keeping the deficit from exploding,debt_deficit
integrity of the leader,NA
finance. a balance budget.,NA
funding for the arts,NA
seniors facilities and services,NA
rent,NA
"tolerance of unusual, irregular, behaviours",NA
someone who will represent the population of the entire country,NA
dealing with senior citizens,NA
cuts to education,NA
getting rid of that bastard trudeau,leadership
maybe climate change,environment
fixing the electoral system,NA
coverage for children,NA
everybody lies. make promises and never follow through,NA
personal income tax,taxes
"health care, education, senior benefits",health care
"i honestly do think that air pollution the environment and the melting and greenhouse effect, what the country is going under with all the change in the weather and stuff.",environment
education & healthcare,health care
government that works for the citizens and not against them.,NA
meeting the needs of families,NA
more child care and healthcare.,health care
seniors citizen benefits,NA
"getting rid of our terrible minister, letting terrorists live in our country",NA
our nation's debt,debt_deficit
equal treatment of all people,NA
cutting taxes and encouraging employment,taxes
the impact of immigration,immigration
stability,NA
replacing the prime minister,NA
global warming and the environment.,environment
old age security.,NA
liberties,NA
the social safety net.,NA
education/health care,health care
les ainées,NA
changing the govt,NA
security for older people,NA
seniors benefits,NA
to make sure there's conservative leadership in government,NA
jobs for lower income people,jobs
to stop the conservatives from taking power,NA
"how the government can help me personallyhow they can help the climate change- i'm not paying a lot for climate change, and somebody with millions and billions get away with nothing, like these companies get away tax free and i have to pay taxes every year from my pension",environment
health care and cost of living,health care
climate and what people are prepared to do,environment
medicinal cannibas,NA
middle class and seniors.,NA
"justin trudeau, i want rid of him.",leadership
autism program,NA
"honesty and saving money for middle class, putting more money in their pockets, not waiting long when you call gov offices",NA
tax reform and weather. global warming,taxes
that i don't like none of the candidates,NA
haven't announced anything for seniors,NA
diversity,NA
housing in the far north,NA
liberal spending too much money on the wrong things.,NA
que les conservateurs soient défaits,NA
"climate change balanced with fossil fuels, pipeline, etc.",environment
climate control,environment
tax breaks,taxes
the cuts that the govt are doing to student loans.,NA
the character of the leaders of the various parties.,NA
"environment, healthcare, congestion in gta taxes, education",environment
immigration and accountability of civil service and elected officuals,immigration
debt load in canada,debt_deficit
the snc lavlin scandal,NA
protection for the unborn,NA
doing what they say they're going to do; delivering on their promises,NA
the way public money is being spent,NA
finding an honest politician.,NA
ousting trudeau,leadership
infrastructure - roads etc,NA
the prosperity of the economy,NA
insuring that the lowest level of the population get the social programs they need. we don't have enough social programs.,NA
that the conservatives to get it.,NA
"low-income families. the rent goes up, our cheques stay the same, and we can't make ends meet.",NA
"environmental issues, climate change related.",environment
making promises,NA
indigenous people and their rights,NA
fear of losing my pension to the war-mongering conservatives.,NA
people have to have enough money to live and get back,NA
"finance, whether the economy is sound",NA
le déficit et l'immigration,immigration
la laicité et les séniors,NA
personnes agees,NA
"agriculture, forêt, dévellopement.",NA
finances publiques,NA
gaspillage,NA
l'aide aux personnes agées,NA
l.environnement,environment
pollution par le plastique et en général,NA
encvironnement,NA
deficit moins elever,debt_deficit
honnêteté intellectuel et physique des politiciens,NA
l'autoroute 20,NA
santé et bien etre des ainés,health care
soins de santé,health care
enjeux regionals,NA
honnêteté,NA
santé mentale,health care
l économie,NA
adaptation au changement climatique et santé,health care
notre langue (francaise),NA
l'environnemnt,environment
l'enironnement,NA
leconomie,NA
ce qu'on fait avec nos taxes,taxes
conserver la liberté des choix,NA
aide aux personnes handicapées,NA
senior pensions and health care,health care
qu'ils nous disent les vraies choses,NA
le budget,NA
le soutien au familles,NA
aide aux personnes agees,NA
"réchauffement de la planète, le climat",NA
democratie,NA
la place du quebec dans la canada,NA
la pauvreté,NA
équité des revenus,NA
education santé etbien-etre personnes agées dans les résidences,health care
economie et condition des personnes dans la société,NA
responsabilité fiscale du gouv,NA
l'honneteté,NA
les jeunes familles,NA
satisfait de l'équipe en place,NA
"que l'argent soit mieux utilisé et moins de corruption. arrêter de promettre pour gagner des votes par exemple plaire aux minorités pour gagner des votes, ce n'est pas pour le peuple mais pour le pouvoir.",NA
la paix,NA
le choix des candidats,NA
"hope of a change of government, economy",NA
voter pour une autre gouvernement quand celui en place n'est pas satisfaisant,NA
niveau familial et immigration,immigration
l'économie et protection des droits des québecois,NA
"la santé, l'éducation et l'environnement",environment
l'économie et l'environnement,environment
le maintien des doits acquis.,NA
animal protection,NA
la famille,NA
les soin des personnes agées,NA
sortir justin trudeau,leadership
que mon parti politique et qu'on puisse se prendre en main (les francophones).,NA
santé et climat,health care
gestion des immigrants,immigration
regime pension,NA
les soins de santé.,health care
l'endettement,NA
la reconnaissance du québec dans le canada,NA
cllimat,NA
ecologie,environment
la planète et personnes agées,NA
privacy,NA
get rid of trudeau,leadership
the deficit and honesty,debt_deficit
we need to get the pipeline built and theirs too much opposition,environment
cost of living and wages,NA
"everybody should have health coverage, it doesn't matter what culture you are. everybody should have it.",health care
i would say young families. families with two or more young children. the middle income families that have small children.,NA
trudeaus reputation,leadership
indigenous issues and climate change.,environment
accountability for the gov't in power,NA
integrity of the leaders of the parties,NA
what the gvt is gloing to do for seniors,NA
affordability - i'm homeless thanks to our government,NA
taxes and economy,taxes
jobs for people,jobs
student debt,debt_deficit
getting canada back on it's feet with the oil and the pipeline going through,environment
natural resources,NA
we want to get the pipeline through.,environment
respect everybody's wishes,NA
better representation,NA
"finances, how the money's managed for our country, and how it's delegated",NA
priceine to help families,NA
getting rid of trudeu,NA
the conservative leaders.,NA
public spending,NA
well -being of our economy,NA
no corruption,NA
want the pipeline to go through,environment
public program expenditure,NA
accountablity,NA
retain human rights and protection for minorities,NA
"canada's role on the global scale regarding climate change, foreign affairs and the government's accountability to the voting base.",environment
"indigenous issues, relations",NA
economy especially in alberta.,NA
oil,NA
racism and discrimination against religions and minorities.,crime
trustworthiness,NA
gun rights,NA
getting the party that represent me in power,NA
disability funding and climate change.,environment
"natural resources, specificlly oil , trans mountain pipeline",environment
the national debt.,debt_deficit
tax,taxes
oil & gas carbon tax,taxes
child care,NA
no more freedom we are taxed to death,taxes
respect of human rights,NA
child care workers,NA
getting the right guy for the job,NA
the current government's policy on pleasing the minority compromising national security,NA
provincial management,NA
"balancing the budget with the deficit, the environment",environment
to get rid of trudeau,leadership
that people in power work together and not undermine each other,NA
léducation,NA
"medical prescriptions, medical coverage, and pharmaceutical coverage for people, as universal to them. universal medical coverage and pharmaceutical coverage.",NA
health care and the increase in the oaf,health care
"when i watched the debate yesterday, i would say the economy.",NA
the wat gvt spends money,NA
the environment and climate change,environment
i have an issue with compelled speech; freedom of speech is my main concern.,NA
manitoba health,health care
welfare state,NA
returning back to common sense,NA
drug additions,NA
environment climate change,environment
programs for people with short-term disabilities,NA
global garming,NA
size of government,NA
more money for the middle class/working class people,NA
climate action.,environment
care for veterans.,NA
climate change and their actions,environment
getting the economy back on track,NA
restore economy in alberta,NA
making sure that womens rights are not erroded,NA
price of gas,NA
emigration,NA
"social policy, funding for it",NA
crime,crime
"the way that we as a nation are taking care of our county, our planet and people in it ie climate change and rights of minority groups",environment
the slamming /badmouthing of eachother. more grown up campaigning,NA
quality of leadership,NA
"not taking care of canadian citizens, people who are already here",NA
they don't talk about points of interest for us in the prairies.,NA
living conditions,NA
the defecite,NA
government not doing what their suppose to be doing,NA
with who's in power today,NA
health and social services,health care
defecit spending.,NA
"equality for all canadians not laws based on religion, or gender, or race. rules that apply to everyone.",NA
"economy - is going good, they support the oil industry in the west and in general",NA
gun rates,NA
tired of them giving all our money away.,NA
"1. the capacity for canada to change, 2. economy, 3. global issues 4. the environment, 5. health care and that impacts immigration.",environment
money transfer to provinces,NA
bring back income splitting,NA
taxes and deficits,taxes
the enviroment,NA
"les aînés, et la transparence du gouv",NA
tax situation,taxes
"environmental issues: climate change, fraking, mining",environment
concern of global warming,NA
"immigration could be handled a litle bit better i am not sure how, there is a lot of mis information out there. if there is a list for subsidized housing immigrants are put to the top of the list say somebody was number 2 on the list and an immigrant comes in the immigrant is put on the top of the list and the other person is bumped down, causes bad feelings. i knew that due to my dealings with second stage housing, a transition house.i think it is really terrible that there are so many indigenous people who have are forced to have unsafe water. we have the capabilities to provide people every canadian should have safe water. the housing is cookie cutter housing and not made for northern climates, should have indigenous architects around that could have input,finland, greenland that have the same hosing problems that we do and don't seem to have the issues that we have.",environment
nothing,NA
pharamacare,NA
vision for canada,NA
equality and the climate,environment
tolérance du multiculture,NA
"needs to be more options available or open for canadians when it comes to supporting living conditions ie people with depression, should be things in place to help.",NA
snc lavalin affair,NA
that my best interests are taken care.,NA
taxes.,taxes
budget - deficit,debt_deficit
unn autre premier ministre,NA
"voting proprtion, voter reform in general",NA
spending of tax dollars,taxes
"the environment, a balanced federal budget",environment
economy and crime,crime
schools like education beliefs system would be first. the freedom of beliefs.,NA
healthcare for single moms,health care
the honesty of the leaders,NA
issues not brought up ie. abortion and same sex marriage,NA
long term environmental situation,environment
change of gov,NA
trudeau is held accountable for snc,leadership
financial state of economy,NA
liberals do not come in,NA
party integrity,NA
accountbility of the candidates,NA
"sustainable existence, affordability for everything.",NA
climate change and shifting the focus of how we operate as a country around our relationship to the environment,environment
maintain human rights and accessibility for those who need it.,NA
a leader who could govern canada without any prejudice,NA
future,NA
the fact that it is hard for everyone to live in canada because it is so expensive,NA
maintaining equal rights; climate change.,environment
indinginus rights,NA
anything that deals with relative cost of living - economy and cost of living.,NA
work,NA
housing cost,NA
medical issues,NA
govt costs,NA
finance,NA
"pharmacare, climate, immigration",environment
"corruption, being allowed to participate in the election - trudean and ethic commision.",NA
maintaining human rights worldwide and in canada,NA
there should be more than just 2 major parties.,NA
i would like to avoid divisions between quebec and the rest of canada,NA
how canada is going to deal with the overall environmental issues that are created by climate change.,environment
too many students here that are international and no room for education for our kids or us. they have more rights than us as canadians.where will our kids go to college. the last ten years everything went downhill in canada. millions of international students have come here and they can work illegally here and they are right in vancouver.,NA
the medical freedom to choose,NA
healthcare and pharmacare,health care
immigration; maintaining open borders,immigration
getting financial house back in order,NA
the housing crisis in canada,NA
taking care of the homeless,NA
i want to see some decisive climate action,environment
concerned about people coming from outside the country and having to pay for them,NA
equality of people and treatment of people in an honest manner,NA
budgetting,NA
transparency in government.,NA
acontability,NA
where my taxpayer dollars go,taxes
"people's needs being attended to, especially with climate change",environment
creating jobs,jobs
i am first nations thats whats important to me i am tired of being discriminated,crime
"seeking out things for future generations like for my children or my children's children like economy, education, affordable education, accessible apprenticeship",NA
support for families' cost of living,NA
addressing climate change everything else around it fossil fuels trans pipeline all things that radiate from it and effect it,environment
we both for ridings,NA
to have the right candidate to lead the country,NA
climate change and it s impact on the economy and people,environment
justin trudeau,leadership
economic concerns,NA
"several issues: opposed to the policies that were put in place by the previous conservative government and alarmed that those policies are advocated by current conservative leader. important to carry on liberal policies incl environmental protection, scientific research and health care. also a plan for senior care",environment
health and education and homelessness,health care
the debt and climate concern,environment
benefits for seniors and the environment,environment
tax relief,taxes
equality.,NA
middle class families to take care of them. tax breaks. children with disabilities more programs and funding.,taxes
education & health care.,health care
firearm ban,NA
politicians being held accountable,NA
the climate action,environment
infrastructer spent on transit,NA
immigration policy,immigration
climate change and pipeline transport line,environment
try to get gov't corruption to stop,NA
income distribution,NA
to elect for the right candidate who understands about canadians and the best interests of canadians,NA
policy,NA
qualifying rate for people to get mortgages,NA
distribution of wealth and taxation,taxes
pipelines issue,environment
"how they will pay for all the programs, budget and how they are using our money",NA
federal and provencal debt,debt_deficit
the culture,NA
human rights of canadian citizens,NA
to balance the budget,NA
the choice,NA
opioid crisis + homelessness which is a part of it,NA
"sensitivity to issues withing canada regarding pipeline, aboriginal right and climate change.",environment
climat action,NA
our economy and housing,NA
transcanada highway pipeline,environment
social programs,NA
the national debt,debt_deficit
inclusivity,NA
energy policy,NA
economic growth locally,NA
more jobs for young people,jobs
someone that believes in keeping things the way they are,NA
addressing income inequality,NA
indigenous issues,NA
environment issues climate change,environment
personal responsibility.,NA
health care and pharma care program,health care
untruthfulness of our politicians.,NA
housing for young people and law how to be put up and roundabouts,NA
sports for children and rebates we were getting before.,NA
"making sure that we keep canadians safe, and take care of the environment, and that we keep a good economy, some people might have trouble finding places to live. i just think that this coming election would be a great way to vote on how your leaders will be able to help with that.",environment
openness of the politicians and how they conduct their for us.,NA
"i would like student loans to be abolished or people who live in the province that they choose is there away that a portion of that could be eliminated (student loan cut if they amount was $10000 cut it in half). getting in to colleges and schools is very costly so it is very difficult to do both, the cost of education out ways the cost of living i do not see a balance.",NA
foreign buyers tax,taxes
to improve life for seniors,NA
the growing wealth divide,NA
they are not doing anything for the seniors.,NA
"lack of issues, leaders telling us what their proposals are",NA
eliminating poverty,NA
help the seniors,NA
what's best for canadians like less immigration,immigration
pay issue (fenix),NA
lowering carbon emissions to improve environmental standards.,environment
government wasting money,NA
lower taxes,taxes
corporate involvement in politics,NA
"none that they are talking about, i don't even listen to them anymore. i just think our 'democratic' system is a joke.",NA
animal welfare,NA
climate change and the government's approach,environment
truth.,NA
housing crisis. not enough places to live.,NA
i don't like the way afghanistan veterans are being treated bu veterans affairs,NA
gun laws,NA
equity amongst the provinces for services and such,NA
jobs for young people,jobs
my wife gets a job with this election for 6 weeks,NA
rights of native people.,NA
economy and national debt levels.,debt_deficit
reproductive rights,NA
senior's benefits,NA
leadership integrity,NA
the taxes,taxes
"general equality for everyone,",NA
taxes break,taxes
not paying off isis members to come and live in our country. upset about omar khadr.,NA
middle class funds,NA
wages and health,health care
"economy, healthcare",health care
elect good members,NA
climate change and the ability to correct what we have done.,environment
economic well being of people of canada,NA
drug plan for medication.,NA
"spending by government, budget under control.",NA
balance the budget,NA
reining in the political correctness to a reasonable level,NA
tax breaks for middle income,taxes
interest in our country not personal benefit,NA
immigration limiting,immigration
nation debt,debt_deficit
health and taxes,health care
transparency of what people are saying. trustworthy.,NA
education and mental health,health care
more benefits for seniors,NA
"there is a lot of things that are done behind closed doors and kept secret, i feel when decisions are made regarding tax payers dollars should be discussed and made public so people like justin trudeau can't give away.",taxes
quality of the candidates,NA
climate change. taking care of our veterans and seniors.,environment
dealing with dementia & care giver support,NA
honesty and transparency of whoever's in power,NA
income equalization,NA
getting trudeau out,leadership
protecting the rights old the most vulnerable and protecting the rights of those that cant speak for themselves the elderly and the unborn the voiceless,NA
decreasing federal debt,debt_deficit
the benefits to seniors,NA
control of finances,NA
health care (dental as well),health care
curruption,NA
improving the wealth of middle class,NA
"essentially, the rights of human beings and other beings and the environment over the perceived need for economic growth.",environment
"health care (more nurses, etc.)",health care
"truth, treated the same, money given to veterans before immigrants and low income and homeless, housing",immigration
freedom of speech. economyembracing socialism,NA
eroding middle class,NA
maintaining public services,NA
ethics of person running in party,ethics
"it's torn between environmental health and support, and equality issues",environment
not having the conservatives win,NA
jobs and environment,environment
"teaching reform; more push for education for trades, encouraging young people to get in the trades",NA
honesty in our politicians,NA
taxes and tax breaks,taxes
way to deal with energy and our resources,NA
social rights,NA
swing voting,NA
schooling,NA
effective climate change plans,environment
taking care of the senior citizens; pensions do not increase with cost of living.,NA
maintaining the environment,environment
envirenment,NA
transparency of government,NA
financial responsibility and accountability.,NA
that conservatives not get elected,NA
more of what they are going to be doing with their taxes,taxes
free choice,NA
taxes - income tax,taxes
reducing our deficit.,debt_deficit
lots of people not making enough money,NA
"discrimination, issues related to class and quality",crime
sensible spending,NA
need to reduce the current taxes; get rid of the carbon tax for one thing.,taxes
"less representatives, and more people to participate directly in issues.",NA
"proportional representation, a different voting system should have been implemented.",NA
keeping my job,NA
affordability and cost of living,NA
all politicians are making promises for change and nothing really gets done,NA
transparency about each party's platforms,NA
"healthcare, education, and climate",environment
finance on a personal level and the deficit on the national level,debt_deficit
reconciling w aboriginal community,NA
say good bye to mr trudeau,leadership
"ethics, since we don't have any in canada anymore, it's a mute point.",ethics
truthfullness,NA
not returning to conservative ruling,NA
environment - and how we are managing our future and what our role is in it,environment
pension,NA
the threat of populist leaders,NA
taking care of veterans,NA
healthcare services,health care
"transparency for example tons of resources went in to building projects, feedback from the community from time to time to speak with people would be nice.",NA
not voting liberal.,NA
deficit reduction,debt_deficit
social services and education,NA
recent immigration.,immigration
rural issues,NA
incoming equality,NA
lack of an issue,NA
truthfulness from our leaders,NA
"i am going on strike on monday, sorting out the educational assistant situation.i would prefer to be working but we need to fight for these rights.",NA
housing.,NA
fairness of the party.,NA
we need someone who understands finances,NA
the debt and the deficit,debt_deficit
preservation of the support for the population,NA
"education, environment",environment
a stronger government than the current one,NA
future of the emvironment/climate control,environment
"social policy, social services and resource allocation",NA
no job cuts,NA
"debt - immigration, health also having an unethical prime minister is concerning.",health care
"climate change, environment decline and global warming.",environment
the whole thing needs to be re-done.,NA
getting people to understand that we need to build some pipelines both east and west and use our own oil and gas products for our own country instead of importing.,environment
"balancing budget, fiscal conservatism",NA
"transparency, lack of corruption",NA
families,NA
the cost of promises.,NA
them not taking guns away from honest people,NA
"climate change, dealing with it",environment
child care (and education),NA
authenticity of the candidate,NA
climate change and environment,environment
health care funding for military members,health care
accountability of leaders.,NA
i think probably the middle class people-taxes.,taxes
"child initiatives like child tax, child care, activity allowance.",taxes
"healthcare in canada, and the outcomes",health care
"social equality, climate action",environment
union (what are they going to do with it),NA
affordable living,NA
environmental matters,environment
oil and energy,NA
carbon tax and immigration.,taxes
energy and oil field.,NA
"the direction of the economy, within our country.",NA
the economic policy,NA
native issues,NA
having somebody that understand we as canadians need certain things and helping us get those things instead of hindering us.,NA
we need everything like equality across the board eg. health care are melting pot has to be dealt with as equal rights,health care
much more in the way of talking about fasing out fossil fuels and bring in more from the sun and more from the wind.,NA
treaty rights,NA
getting out of debt that trudeau has created.,debt_deficit
balancing the budget and economy.,NA
long term economic affect of the ruling party after the election,NA
"our economic future as a whole, there is definitely a disconnect going on, management of resources, contracts, trade deals, that's going to have the largest repercussions on canadians.",NA
"money, what i used to get and what i get now - what's going in and what going out - economics",NA
job security,NA
either education or the environment,environment
getting the pipeline built,environment
getting pipelines built in this country,environment
how the incumbent and current party are managing our budget,NA
probably the economic growth and developing the economy.,NA
maintenance of international and trade relationships.,NA
"taxes, i would rather not have tax cuts. make sure money is going to good causes.",taxes
balance between environment and tradehuman rightshomelessness,environment
lifestyle and benefits for the people who are living in canada and safety issues. i've been living here for 10 years and i've just recently started to not feel safe. i've heard of shootings every week.,NA
maintaining canadian values,NA
"no un agreement, immigration backlog needs to be revised",immigration
being able to create important jobs in industrial energy sector,jobs
keep more money in the taxpayers pockets,taxes
"i would say economic policy, and provinicial cuts suplimation.",NA
middle class,NA
"i need government to do better for education, immigration, and health and safety.",health care
construction jobs,jobs
protection of our democracy.,NA
trudeau out,leadership
whatever gets people working and finding jobs,jobs
when the budget will be balanced,NA
the government deficit and what government will be elected and what they plan to do with it,debt_deficit
expanding health care specifically pharmacare,health care
universal basic income,NA
other countries influence on our democracy.,NA
"i am concerned the way the government works in the western provinces a tool they access for their needs and they fail to acknowledge when we need things for ourselves for example the fort mcmurry they did not offer assistant as much as they should i feel they are offering more assistance in eastern canada i am, not sure why they have not. i find it more frustrating and so have the people i spoke to and they had to be more balance and more of all parts of canada need to be recognized climate change is a concern of mine as w the pint is the amount of money to the east varies to the west problems within communities that need support from the federal government and the second point they really dont give a damn about the western canada. we dont believe that the governed is trying to make votes to the west and i am about policy as well and i dont feel our need in our province. third one in dont see the government pursuing areas as i see in eastern canada regard job creation for the east only",environment
getting rid of the carbon tax - getting rid of trudeau,taxes
the way our prime minister has gone about and used the money from our taxpayers,taxes
"protecting the election's security, making sure elections stay free and fair from meddling",NA
being able to keep my job. keeping the oil fields up and going.,NA
economy sustainability,NA
the climate.,environment
droit des femmes et lgbtq,NA
discriminations et vague politique sur les discrimination,crime
pas être dirigé par un taouin,NA
patrimoine québécois,NA
economie et l'immigration,immigration
le québec est sa place,NA
commitment to climate change.,environment
"aider les pauvres ã  devenir moins pauvres, améliorer la qualité de vies des citoyens qui sont pauvres. les citoyens qui sont défavorisés ã  cause du système de santé surtout.",health care
l'wnvironnement,NA
la couche d'ozone,NA
le respect des compétences provinciales,NA
la plus du francais au quebec,NA
la jeunesse,NA
avenir de notre pays économie,NA
cutting taxes for the middle class,taxes
les impots et taxes pour la classe moyenne et les famille,taxes
taxes going higher,taxes
les questions reliés ã  l'evironnement.,NA
securite du peuple,NA
avortement,NA
plan social,NA
trouver un électeur honnête qui tien ã  ses paroles et qui n'est pas si sévère au niveau d'immigration ou aussi budgétaire.,immigration
sinerité,NA
les avantages monetaires les parents des jeunes enfants,NA
l'environnementlutte au changements climatiques,environment
plus sérieux,NA
multi culturism,NA
environnement economie,environment
tax budget,taxes
independance et constitution,NA
la langue francaise,NA
climatic crisis,NA
créer de la richesse humaine et économique,NA
"la difficulté de me rendre au bureau de vote ã  cause de mon travail , parce qu'il sera assez tard pour aller voter.changements climatiques.",NA
wnvironnement,NA
écononmie et environnement,environment
les petites et moyennes entreprises,NA
"baisser les impôts, trop de taxes",taxes
"les taxes, fiscale, taxation des particuliers.",taxes
respecter la volonté des provinces,NA
conservé les droits des canadiens garder notre société libre plus social possible,NA
"la liberté du québec au sein du canada, etre un pays independant",NA
que le fédéral ne rentre pas,NA
changement climatiques,NA
la facon de repartir l'argent que le gouvernement recoit,NA
le deficit,debt_deficit
"education, environnement, taxes",environment
les finances publiques,NA
rechauffement climatique,NA
l'innovation et l'environnement,environment
ecolgie,NA
la transparence,NA
reconcilatgion with indigenous people,NA
économie et envirronement,NA
reglementation des entrepises,NA
l'environne et l'écnomie,environment
économie canadienne,NA
'pas se avoir',NA
l avenir des adosclents,NA
tax cuts.,taxes
l'education,NA
la protection des minorites,NA
"les impots aux pme, ( petite et moyennes entreprises)",taxes
que m. trudeau ne soit pas reeliu,leadership
sécurité civil et internet,NA
les droits des minorités,NA
the deth,NA
lhonneteter,NA
satisfaite,NA
the envirnoment,NA
personnes 'gées,NA
bien vérifier de facon sécuritaire le nombre d'immigrants avec bons antécédants choix séveres,immigration
how we vote. when people vote they don't actually know what they are voting for. they are not educated enough to vote,NA
un chef qui va tenir ses promesses,NA
santé et education,health care
garder identité canadienne face a la montée du populisme dans le monde,NA
pollution and the environment,environment
road construction,NA
"education, la famille et la democratie",NA
l'immigration et développement économique,immigration
que le gouvernement améliore la qualité de vie,NA
déficit,NA
rien,NA
la défense des interets et droits du uébec,NA
climat environnement,environment
"imposer l'assurance medicale , et les choses qui concerne l'individue",NA
le développement économique,NA
emploi,NA
baisse d'impot,NA
defiects,NA
getting treaudeu out of there.,NA
the economy and immigration,immigration
< innappropriate >,NA
fairness and equality,NA
small seniors pension,NA
honesty in government,NA
international trade,NA
the trans-mountain pipeline,environment
"universal health care, and environment.",environment
"cost to the next generation, we can't run on a perpetual deficit.",debt_deficit
deficits,debt_deficit
environmental issues; climate change,environment
that the liberals are out.,NA
"they are supposed to be helping seniors and after working 30 or 40 years i am taxed to the hilt. the prime minister says he is helping the first nations and women and just does it for political gain. he fires two of them. if you are going to talk about it, then do something about it as well.",taxes
